uuid,event_id,category,type,value,comment,to_ids,date,object_relation,attribute_tag,object_uuid,object_name,object_meta_category
2ad4096b-f446-4662-a3be-a466198881b2,1471,Network activity,ip-dst,0.0.0.0,,1,1634380915,,,,,
87dca2f1-64ab-44e9-af37-dce42c33a3b2,1471,Network activity,ip-dst,45.76.122.0,,1,1634380915,,,,,
eac2700b-ac65-486a-bcff-4fbe83c0e001,1471,Network activity,ip-dst,255.255.254.0,,1,1634380915,,,,,
080d8d0d-a2fb-4844-a232-dbc9d5c42c95,1471,Network activity,ip-dst,169.254.169.254,,1,1634380915,,,,,
b0228e79-6f86-463b-af98-4dd1c27f952a,1471,Network activity,ip-dst,255.255.255.255,,1,1634380915,,,,,
d6763dc5-9c8a-4211-aa8c-1423db83bf7f,1471,Network activity,ip-dst,172.17.0.0,,1,1634380915,,,,,
d5c202a8-a41a-4bc3-9be0-6c6199275b90,1471,Network activity,ip-dst,255.255.0.0,,1,1634380915,,,,,
619dd590-e0f4-4dfa-ba95-d12afcb2c201,1471,Network activity,ip-dst|port,127.0.0.1|25,On port 25,1,1634380915,,,,,
215e830f-c614-4dd0-b1cb-92d327ad3dc4,1471,Network activity,ip-dst|port,0.0.0.0|22,On port 22,1,1634380915,,,,,
4f9f75d8-17ba-4038-a4ca-e0f1ca9f524b,1471,Network activity,ip-dst|port,127.0.0.1|631,On port 631,1,1634380915,,,,,
79763444-4f1c-483d-a19d-6584b8c08a92,1471,Network activity,ip-dst,::0.1.0.37,,1,1634380915,,,,,
f21d1a68-85ca-48d4-b539-5efecc4b9c3c,1471,Network activity,ip-dst|port,::|22,On port 22,1,1634380915,,,,,
57ca03d7-246e-4eda-8834-adfef9472448,1471,Network activity,ip-dst,::0.1.6.49,,1,1634380915,,,,,
40408afd-80ca-4442-bdd3-6a688fe9b171,1471,Network activity,ip-dst|port,0.0.0.0|45082,On port 45082,1,1634380915,,,,,
f378881d-c1ce-49a2-b0ab-c9ab32505f1f,1471,Network activity,ip-dst|port,0.0.0.0|68,On port 68,1,1634380915,,,,,
cd22afd4-ae5d-4dfa-a84b-abe9ef8a5c12,1471,Network activity,ip-dst|port,0.0.0.0|631,On port 631,1,1634380915,,,,,
80bdd613-6826-4ba0-bd21-4d4b280055f1,1471,Network activity,ip-dst|port,45.76.123.28|123,On port 123,1,1634380915,,,,,
9b29fb2c-af84-40fa-897f-3651df3ede8a,1471,Network activity,ip-dst|port,127.0.0.1|123,On port 123,1,1634380915,,,,,
c5ce5ba7-71c9-49a2-a514-d878f04b8c92,1471,Network activity,ip-dst|port,0.0.0.0|123,On port 123,1,1634380915,,,,,
74911566-e18b-4147-a796-a422e31fc748,1471,Network activity,ip-dst|port,0.0.0.0|5353,On port 5353,1,1634380915,,,,,
45229756-0f77-4110-b994-3212ac0faba3,1471,Network activity,ip-dst|port,::|51236,On port 51236,1,1634380915,,,,,
66fa8e3c-9062-4e6c-8df4-ce46b9b8aaa7,1471,Network activity,ip-dst,fe80::aae1:da51:f52:123,,1,1634380915,,,,,
b2a88734-9dca-461d-9940-c3b3f31cd642,1471,Network activity,ip-dst,::0.1.1.35,,1,1634380915,,,,,
51c4252e-366e-4ccb-b973-9fd721615da4,1471,Network activity,ip-dst|port,::|123,On port 123,1,1634380915,,,,,
5aabbb44-1400-4045-85f4-2630a0d92212,1471,Network activity,ip-dst|port,::|5353,On port 5353,1,1634380915,,,,,
29404697-fd9b-446b-86e1-1bb388874074,1471,Network activity,ip-dst|port,::|58,On port 58,1,1634380915,,,,,
fec419b1-a802-469e-b6e4-ea0912a9cda9,1471,Payload delivery,filename,/run/user/1000/gnupg/S.gpg-agent.browser,,1,1634380915,,,,,
e7666b94-09ff-41b0-b643-d8e9f3405bb8,1471,Payload delivery,filename,/var/run/dhcpcd.sock,,1,1634380915,,,,,
637857c6-2e6a-4d28-9cf4-fc93974c9ebf,1471,Payload delivery,filename,/run/user/1000/gnupg/S.gpg-agent.extra,,1,1634380915,,,,,
4460aa1d-3a52-4d77-ba2b-6b4594fec814,1471,Payload delivery,filename,/var/run/dhcpcd.unpriv.sock,,1,1634380915,,,,,
5f0a19e2-918c-471f-9e17-d9852c146c95,1471,Payload delivery,filename,/run/user/1000/gnupg/S.gpg-agent.ssh,,1,1634380915,,,,,
ab54493f-d077-4983-b7d8-c46015e17fd9,1471,Payload delivery,filename,/run/user/1000/gnupg/S.dirmngr,,1,1634380915,,,,,
14190325-85c8-416c-a039-a12eea9b0e88,1471,Payload delivery,filename,/var/run/docker/metrics.sock,,1,1634380915,,,,,
5024650a-3ddb-4e6c-872d-cae8225ea633,1471,Payload delivery,filename,/run/cups/cups.sock,,1,1634380915,,,,,
50ac4efe-fa56-4acf-aabe-1f0c50d67b8c,1471,Payload delivery,filename,/var/run/docker/containerd/containerd-debug.sock,,1,1634380915,,,,,
11148922-8599-4dff-815f-b704de074050,1471,Payload delivery,filename,/var/run/docker/containerd/containerd.sock,,1,1634380915,,,,,
bfb956af-6654-48a3-9a78-389451f33fad,1471,Payload delivery,filename,/run/systemd/fsck.progress,,1,1634380915,,,,,
3063e897-f949-4365-af78-74d64d64d81c,1471,Payload delivery,filename,/run/docker/libnetwork/6db258d0ae3fe66bfeca54e07797a25f9c42326a1115f0b5ac1a477dfd464d75.sock,,1,1634380915,,,,,
7fb8848f-4399-4129-831d-dc4059d5f291,1471,Payload delivery,filename,/run/lvm/lvmpolld.socket,,1,1634380915,,,,,
b7e2b422-c0a5-4f56-bfcb-c9e1b741fa1c,1471,Payload delivery,filename,/run/thd.socket,,1,1634380915,,,,,
de89f8d0-6f7e-463d-97db-ac075eb4c225,1471,Payload delivery,filename,/var/run/docker.sock,,1,1634380915,,,,,
400cff97-f04f-4aa1-a14b-032918eaf56f,1471,Network activity,ip-dst,149.28.185.86,,1,1634380915,,,,,
40c9a431-7314-45fa-8eca-43ab3d7b27d4,1471,Network activity,ip-dst,45.76.122.1,,1,1634380915,,,,,
cb5f65e7-c607-4c7f-8d25-ce4afb50c147,1471,Network activity,ip-dst|port,45.76.123.28|22,On port 22,1,1634380915,,,,,
cca6b933-9317-44a7-8828-52fca5078362,1471,Network activity,ip-dst|port,61.177.173.5|28584,On port 28584,1,1634380915,,,,,
66adaeb7-a5fb-4677-a87a-352b6df95544,1471,Network activity,ip-dst|port,61.177.173.5|63658,On port 63658,1,1634380915,,,,,
1ed305bb-9dbf-4cbc-9620-fd695fbef8b4,1471,Network activity,ip-dst|port,61.177.173.5|44313,On port 44313,1,1634380915,,,,,
